ca[deg],P[bar],T[K],HR[J/deg]
-120.00000000000001,1.3531190590749913,380.27804147311565,-1.1627789447581999e-25
-119.8,1.3560758385652822,380.5048111561807,-1.217245371440929e-25
-119.6,1.3590519767718565,380.73268774167536,-1.2743267156573214e-25
-119.39999999999999,1.3620476044352687,380.9616752825846,-1.3346176190610054e-25
-119.20000000000002,1.3650628535636722,381.1917778707491,-1.3991660901934674e-25
-119.0,1.3680978570362774,381.422999560636,-1.4673705569768205e-25
-118.79999999999998,1.371152749104095,381.655344461125,-1.5395045771991686e-25
-118.60000000000001,1.3742276652367096,381.88881670458204,-1.6158649781233397e-25
-118.40000000000002,1.3773227421344278,382.12342044696913,-1.6967735799782562e-25
-118.2,1.3804381177405556,382.3591598679545,-1.7825790305938927e-25
-118.0,1.3835739312538196,382.5960391710222,-1.873658758689309e-25
-117.80000000000001,1.3867303231409247,382.8340625835824,-1.9704210538477838e-25
-117.60000000000001,1.3899074351492522,383.0732343570809,-2.073307281773616e-25
-117.4,1.3931054103197018,383.3135587671092,-2.1827942440327246e-25
-117.19999999999999,1.3963243929996776,383.5550401135146,-2.299396692119944e-25
-117.0,1.3995645288562197,383.7976827205099,-2.423670006395367e-25
-116.80000000000001,1.4028259652190327,384.04149099054206,-2.5487741413348647e-25
-116.6,1.406108850285692,384.2864692722764,-2.678734909431102e-25
-116.39999999999999,1.4094133337361128,384.53262195917983,-2.8148559661804205e-25
-116.2,1.4127395666749252,384.7799534778272,-2.9573438792281334e-25
-116.0,1.4160877015965443,385.02846828002527,-3.1064151011422834e-25
-115.8,1.4194578923993142,385.27817084293423,-3.262297980027469e-25
-115.59999999999998,1.422850294399815,385.52906566918864,-3.425235014728716e-25
-115.39999999999999,1.4262650643473378,385.78115728701925,-3.5954853725684154e-25
-115.20000000000002,1.4297023604385177,386.0344502503739,-3.7733276888655957e-25
-114.99999999999999,1.4331623423321334,386.288949139039,-3.9590631688940136e-25
-114.80000000000001,1.4366451711640802,386.54465855876094,-4.153019014445931e-25
-114.6,1.440151009562511,386.8015831413673,-4.355552198786673e-25
-114.39999999999999,1.443680021837689,387.0597275694803,-4.57363659495987e-25
-114.2,1.4472323738532795,387.3190965560188,-4.815385823039286e-25
-114.0,1.450808232606104,387.5796947831992,-5.073659739842873e-25
-113.8,1.4544077668778288,387.8415269922955,-5.350058669598348e-25
-113.6,1.458031147023463,388.1045979516023,-5.646333558460515e-25
-113.4,1.4616785449876977,388.36891245656824,-5.964396448923517e-25
-113.2,1.4653501343214343,388.6344753299299,-6.3063315657648515e-25
-113.00000000000001,1.4690460901985003,388.9012914218449,-6.674407056258965e-25
-112.80000000000001,1.47276658943256,389.1693656100255,-7.071087430551065e-25
-112.6,1.4765118104942225,389.4387027998724,-7.499046751433531e-25
-112.4,1.4802819335283415,389.7093079246076,-7.961182626403625e-25
-112.19999999999999,1.484077140371523,389.9811859454087,-8.46063105878566e-25
-112.0,1.4878976145698284,390.2543418515419,-9.000782218886057e-25
-111.80000000000001,1.4917435419333391,390.5287807303589,-9.508867664669521e-25
-111.6,1.4956151091729197,390.8045075870614,-1.0033029956742517e-24
-111.4,1.499512505072946,391.08152749591017,-1.0577463535691738e-24
-111.20000000000002,1.5034359202354084,391.3598455643316,-1.1141698078516394e-24
-111.0,1.5073855470667805,391.63946692887936,-1.1725173360451934e-24
-110.8,1.5113615797971582,391.9203967553817,-1.2327243951806178e-24
-110.59999999999998,1.5153642144996158,392.202640239088,-1.2947185221114065e-24
-110.4,1.5193936491097926,392.4862026048155,-1.3584200749738668e-24
-110.2,1.5234500834457108,392.77108910709654,-1.4237431271205867e-24
-110.0,1.5275337192278204,393.0573050303251,-1.4905965257319504e-24
-109.8,1.531644760099286,393.3448556889037,-1.558885128260047e-24
-109.60000000000001,1.5357834116465066,393.6337464273901,-1.6285112308789423e-24
-109.39999999999999,1.539949881712259,393.9239826574039,-1.709640620617484e-24
-109.2,1.5441443800214874,394.2155698076335,-1.8087611795130008e-24
-109.00000000000001,1.5483671178816207,394.50851328412045,-1.9174917346494073e-24
-108.8,1.5526183089030994,394.8028185583,-2.0371261615937895e-24
-108.60000000000001,1.5568981687497354,395.0984911329032,-2.169089290499922e-24
-108.39999999999999,1.561206915160913,395.39553654211835,-2.314945040577962e-24
