P[bar],断熱火炎t1[K]
214.01325,2405.0856306029823
215.01325,2405.1349512800766
216.01325,2405.1839850257797
217.01325,2405.23273480571
218.01325,2405.2812035415914
219.01325,2405.3293941119255
220.01325,2405.3773093528953
221.01325,2405.424952059124
222.01325,2405.4723249846147
223.01325,2405.5194308433424
224.01325,2405.566272310028
225.01325,2405.6128520211378
226.01325,2405.659172575179
227.01325,2405.7052365336554
228.01325,2405.7510464218126
229.01325,2405.796604729251
230.01325,2405.8419139102966
231.01325,2405.8869763851876
232.01325,2405.9317945402045
233.01325,2405.976370728656
234.01325,2406.0207072711546
235.01325,2406.064806456449
236.01325,2406.1086705418265
237.01325,2406.152301753794
238.01325,2406.195702288602
239.01325,2406.2388743127453
240.01325,2406.2818199634603
241.01325,2406.3245413493387
242.01325,2406.3670405507296
243.01325,2406.409319620347
244.01325,2406.451380583601
245.01325,2406.4932254391188
246.01325,2406.534856159237
247.01325,2406.57627469057
248.01325,2406.6174829542156
249.01325,2406.658482846248
250.01325,2406.699276238278
251.01325,2406.7398649777942
252.01325,2406.78025088842
253.01325,2406.820435770641
254.01325,2406.8604214017987
255.01325,2406.9002095367314
256.01325,2406.9398019081814
257.01325,2406.9792002269305
258.01325,2407.018406182361
259.01325,2407.0574214426915
260.01325,2407.0962476554055
261.01325,2407.1348864475895
262.01325,2407.1733394260573
263.01325,2407.211608178029
264.01325,2407.2496942711196
265.01325,2407.2875992539102
266.01325,2407.3253246559343
267.01325,2407.3628719884478
268.01325,2407.4002427441305
269.01325,2407.437438397987
270.01325,2407.4744604071284
271.01325,2407.511310211359
272.01325,2407.5479892332764
273.01325,2407.5844988785752
274.01325,2407.620840536484
275.01325,2407.657015579709
276.01325,2407.6930253648416
277.01325,2407.7288712327872
278.01325,2407.76455450864
279.01325,2407.800076502178
280.01325,2407.835438508073
281.01325,2407.8706418059915
282.01325,2407.905687660935
283.01325,2407.940577323451
284.01325,2407.9753120297637
285.01325,2408.0098930020754
286.01325,2408.0443214487323
287.01325,2408.0785985645293
288.01325,2408.1127255306433
289.01325,2408.1467035151763
290.01325,2408.180533673089
291.01325,2408.2142171464725
292.01325,2408.247755064806
293.01325,2408.281148545081
294.01325,2408.3143986919163
295.01325,2408.3475065978114
296.01325,2408.3804733433285
297.01325,2408.413299997252
298.01325,2408.445987616729
299.01325,2408.4785372474307
300.01325,2408.5109499237483
301.01325,2408.5432266689204
302.01325,2408.575368495271
303.01325,2408.6073764042217
304.01325,2408.6392513865017
305.01325,2408.6709944224226
306.01325,2408.7026064817537
307.01325,2408.7340885242093
308.01325,2408.7654414992594
309.01325,2408.7966663464867
310.01325,2408.8277639956045
311.01325,2408.858735366702
312.01325,2408.889581370193
313.01325,2408.920302907205
314.01325,2408.9509008695372
315.01325,2408.981376139662
316.01325,2409.0117295911623
317.01325,2409.041962088696
318.01325,2409.072074487922
319.01325,2409.1020676360367
320.01325,2409.1319423714194
321.01325,2409.161699524223
322.01325,2409.1913399160585
323.01325,2409.2208643603917
324.01325,2409.2502736625333
325.01325,2409.27956861965
326.01325,2409.308750021147
327.01325,2409.337818648495
328.01325,2409.3667752754386
329.01325,2409.3956206682524
330.01325,2409.424355585411
331.01325,2409.452980778195
332.01325,2409.4814969904387
