P[bar],断熱火炎t1[K]
734.01325,2740.2386821328073
735.01325,2740.272041313428
736.01325,2740.305346096813
737.01325,2740.3385966438123
738.01325,2740.371793114634
739.01325,2740.4049356686805
740.01325,2740.4380244647755
741.01325,2740.471059660992
742.01325,2740.5040414147984
743.01325,2740.5369698829263
744.01325,2740.5698452215115
745.01325,2740.6026675859275
746.01325,2740.635437130966
747.01325,2740.668154010762
748.01325,2740.700818378757
749.01325,2740.7334303877556
750.01325,2740.7659901899356
751.01325,2740.798497936807
752.01325,2740.830953779273
753.01325,2740.8633578675826
754.01325,2740.8957103513603
755.01325,2740.9280113795458
756.01325,2740.9602611005785
757.01325,2740.992459662196
758.01325,2741.024607211496
759.01325,2741.0567038949885
760.01325,2741.0887498586385
761.01325,2741.1207452476747
762.01325,2741.1526902068017
763.01325,2741.1845848801618
764.01325,2741.2164294112035
765.01325,2741.2482239428437
766.01325,2741.279968617386
767.01325,2741.3116635765496
768.01325,2741.3433089614937
769.01325,2741.374904912735
770.01325,2741.4064515702926
771.01325,2741.4379490735414
772.01325,2741.469397561354
773.01325,2741.5007971719174
774.01325,2741.532148042982
775.01325,2741.563450311651
776.01325,2741.5947041145123
777.01325,2741.6259095875967
778.01325,2741.6570668663435
779.01325,2741.68817608568
780.01325,2741.7192373799344
781.01325,2741.750250882949
782.01325,2741.781216728002
783.01325,2741.812135047821
784.01325,2741.84300597462
785.01325,2741.873829640035
786.01325,2741.9046061752224
787.01325,2741.935335710779
788.01325,2741.966018376786
789.01325,2741.996654302823
790.01325,2742.0272436178952
791.01325,2742.057786450555
792.01325,2742.0882829288084
793.01325,2742.1187331801457
794.01325,2742.149137331527
795.01325,2742.179495509458
796.01325,2742.2098078399226
797.01325,2742.2400744483984
798.01325,2742.270295459836
799.01325,2742.300470998757
800.01325,2742.330601189127
801.01325,2742.3606861544663
802.01325,2742.390726017749
803.01325,2742.4207209015285
804.01325,2742.4506709278526
805.01325,2742.480576218273
806.01325,2742.510436893829
807.01325,2742.5402530752253
808.01325,2742.5700248825246
809.01325,2742.5997524353966
810.01325,2742.629435853071
811.01325,2742.65907525426
812.01325,2742.6886707572303
813.01325,2742.7182224797625
814.01325,2742.747730539241
815.01325,2742.777195052552
816.01325,2742.8066161361057
817.01325,2742.835993905936
818.01325,2742.8653284775287
819.01325,2742.8946199659913
820.01325,2742.923868485983
821.01325,2742.9530741516883
822.01325,2742.982237076849
823.01325,2743.0113573748026
824.01325,2743.0404351584707
825.01325,2743.069470540237
826.01325,2743.0984636321778
827.01325,2743.12741454586
828.01325,2743.156323392478
829.01325,2743.1851902827293
830.01325,2743.214015326941
831.01325,2743.2427986350167
832.01325,2743.271540316445
833.01325,2743.300240480257
834.01325,2743.3288992351277
835.01325,2743.3575166892524
836.01325,2743.386092950482
837.01325,2743.4146281262565
838.01325,2743.4431223235
839.01325,2743.471575648904
840.01325,2743.499988208616
841.01325,2743.52836010845
842.01325,2743.5566914538044
843.01325,2743.584982349716
844.01325,2743.6132329007614
845.01325,2743.6414432111524
846.01325,2743.669613384739
847.01325,2743.69774352496
848.01325,2743.7258337348476
849.01325,2743.753884117094
850.01325,2743.781894773969
851.01325,2743.809865807382
852.01325,2743.837797318834
853.01325,2743.865689409517
854.01325,2743.893542180182
855.01325,2743.921355731207
856.01325,2743.949130162636
857.01325,2743.976865574126
858.01325,2744.0045620649316
859.01325,2744.0322197340256
860.01325,2744.0598386799384
861.01325,2744.08741900086
862.01325,2744.1149607946218
863.01325,2744.1424641586946
864.01325,2744.1699291901946
865.01325,2744.1973559859007
866.01325,2744.2247446421843
867.01325,2744.252095255106
868.01325,2744.2794079203654
869.01325,2744.3066827333423
870.01325,2744.3339197890086
871.01325,2744.361119182021
872.01325,2744.388281006726
873.01325,2744.415405357045
874.01325,2744.442492326629
875.01325,2744.4695420087673
876.01325,2744.4965544964425
877.01325,2744.523529882211
878.01325,2744.5504682584165
879.01325,2744.577369716971
880.01325,2744.6042343494896
881.01325,2744.6310622472724
882.01325,2744.6578535012773
883.01325,2744.684608202151
884.01325,2744.711326440155
885.01325,2744.7380083052935
886.01325,2744.7646538872755
887.01325,2744.7912632753873
888.01325,2744.817836558658
889.01325,2744.8443738257956
890.01325,2744.8708751652007
891.01325,2744.8973406649307
892.01325,2744.923770412771
893.01325,2744.9501644961424
894.01325,2744.976523002176
895.01325,2745.0028460177377
896.01325,2745.029133629302
897.01325,2745.055385923124
898.01325,2745.0816029851017
899.01325,2745.107784900848
900.01325,2745.133931755662
901.01325,2745.1600436345534
902.01325,2745.186120622199
903.01325,2745.2121628030463
904.01325,2745.2381702612142
905.01325,2745.2641430804915
906.01325,2745.2900813444103
907.01325,2745.315985136215
908.01325,2745.341854538823
909.01325,2745.3676896349225
910.01325,2745.39349050686
911.01325,2745.419257236688
912.01325,2745.4449899062174
913.01325,2745.4706885969676
914.01325,2745.496353390187
915.01325,2745.5219843667287
916.01325,2745.547581607343
917.01325,2745.5731451923834
918.01325,2745.5986752019317
919.01325,2745.6241717158596
920.01325,2745.6496348136898
921.01325,2745.6750645747147
922.01325,2745.700461077917
923.01325,2745.7258244020586
924.01325,2745.7511546256223
925.01325,2745.776451826774
926.01325,2745.8017160834343
927.01325,2745.8269474732574
928.01325,2745.8521460736724
929.01325,2745.877311961783
930.01325,2745.90244521449
931.01325,2745.9275459083783
932.01325,2745.9526141197643
933.01325,2745.977649924784
934.01325,2746.002653399226
935.01325,2746.0276246186704
936.01325,2746.05256365845
937.01325,2746.0774705936046
938.01325,2746.1023454989277
939.01325,2746.1271884489847
940.01325,2746.151999518062
941.01325,2746.176778780267
942.01325,2746.2015263093167
943.01325,2746.226242178788
944.01325,2746.250926462021
945.01325,2746.2755792320136
946.01325,2746.3002005616286
947.01325,2746.3247905234193
948.01325,2746.3493491897098
949.01325,2746.3738766325905
950.01325,2746.3983729238785
951.01325,2746.4228381352145
952.01325,2746.4472723379276
953.01325,2746.4716756031594
954.01325,2746.496048001811
955.01325,2746.5203896045364
956.01325,2746.5447004817197
957.01325,2746.568980703592
958.01325,2746.5932303400864
959.01325,2746.6174494609168
960.01325,2746.6416381355957
961.01325,2746.6657964333904
962.01325,2746.6899244232864
963.01325,2746.714022174136
964.01325,2746.7380897545145
965.01325,2746.762127232778
966.01325,2746.7861346770155
967.01325,2746.810112155191
968.01325,2746.834059734931
969.01325,2746.8579774837262
970.01325,2746.881865468836
971.01325,2746.905723757248
972.01325,2746.929552415784
973.01325,2746.9533515110097
974.01325,2746.9771211093116
975.01325,2747.000861276824
976.01325,2747.0245720794874
977.01325,2747.0482535830447
978.01325,2747.07190585297
979.01325,2747.0955289545773
980.01325,2747.1191229529522
981.01325,2747.1426879129613
982.01325,2747.166223899253
983.01325,2747.1897309763312
984.01325,2747.2132092083893
985.01325,2747.2366586595044
986.01325,2747.260079393472
987.01325,2747.2834714739706
988.01325,2747.306834964391
989.01325,2747.33016992795
990.01325,2747.3534764276815
991.01325,2747.376754526399
992.01325,2747.4000042867074
993.01325,2747.423225770995
994.01325,2747.446419041568
995.01325,2747.469584160341
996.01325,2747.4927211891954
997.01325,2747.5158301897077
998.01325,2747.5389112233715
999.01325,2747.561964351338
1000.01325,2747.5849896346717
