P[bar],T[K]
1.1981598860943292,315.718717290904
1.1981978248823266,315.7215394378558
1.198235765730332,315.7243616732444
1.1982737086385025,315.7271839970743
1.198311653606997,315.7300064093503
1.1983496006359744,315.7328289100772
1.1983875497255925,315.73565149925963
1.1984255008760099,315.73847417690234
1.1984634540873844,315.74129694301
1.1985014093598756,315.7441197975874
1.1985393666936413,315.74694274063927
1.1985773260888397,315.74976577217024
1.1986152875456295,315.75258889218503
1.1986532510641696,315.75541210068843
1.1986912166446182,315.75823539768516
1.198729184287134,315.7610587831799
1.1987671539918752,315.7638822571774
1.1988051257590011,315.76670581968233
1.1988430995886692,315.76952947069947
1.198881075481039,315.7723532102335
1.1989190534362688,315.7751770382892
1.198957033454517,315.77800095487123
1.1989950155359426,315.78082495998433
1.199032999680704,315.78364905363327
1.1990709858889605,315.7864732358227
1.1991089741608698,315.7892975065574
1.1991469644965913,315.792121865842
1.1991849568962838,315.79494631368135
1.1992229513601056,315.7977708500801
1.1992609478882157,315.800595475043
1.1992989464807724,315.80342018857476
1.1993369471379351,315.8062449906801
1.1993749498598627,315.80906988136377
1.1994129546467132,315.8118948606305
1.1994509614986464,315.814719928485
1.1994889704158205,315.81754508493196
1.1995269813983946,315.8203703299762
1.1995649944465272,315.8231956636223
1.1996030095603778,315.82602108587514
1.1996410267401052,315.82884659673937
1.199679045985868,315.83167219621976
1.1997170672978252,315.83449788432097
1.199755090676136,315.8373236610478
1.1997931161209594,315.84014952640496
1.1998311436324538,315.8429754803971
1.1998691732107787,315.8458015230291
1.1999072048560937,315.8486276543056
1.1999452385685563,315.85145387423125
1.1999832743483267,315.85428018281095
1.2000213121955643,315.85710658004933
1.2000593521104268,315.8599330659511
1.2000973940930746,315.86275964052106
1.2001354381436662,315.8655863037639
1.2001734842623608,315.8684130556844
1.2002115324493174,315.87123989628725
1.200249582704696,315.8740668255772
1.2002876350286542,315.8768938435589
1.2003256894213525,315.87972095023724
1.2003637458829497,315.8825481456168
1.200401804413605,315.88537542970244
1.2004398650134778,315.88820280249877
1.200477927682727,315.8910302640106
1.2005159924215123,315.8938578142427
1.200554059229993,315.8966854531998
1.2005921281083274,315.89951318088646
1.2006301990566763,315.90234099730765
1.2006682720751982,315.905168902468
1.2007063471640524,315.9079968963722
1.2007444243233987,315.9108249790251
1.2007825035533963,315.91365315043134
1.200820584854204,315.9164814105957
1.2008586682259823,315.9193097595229
1.2008967536688897,315.9221381972177
1.200934841183086,315.9249667236848
1.2009729307687311,315.927795338929
1.2010110224259838,315.930624042955
1.2010491161550036,315.9334528357675
1.2010872119559508,315.93628171737134
1.2011253098289838,315.9391106877712
1.201163409774263,315.94193974697174
1.201201511791947,315.9447688949778
1.2012396158821967,315.94759813179417
1.201277722045171,315.95042745742546
1.201315830281029,315.9532568718765
1.2013539405899314,315.956086375152
1.2013920529720366,315.95891596725664
1.201430167427505,315.9617456481953
1.2014682839564965,315.96457541797264
1.2015064025591702,315.96740527659335
1.201544523235686,315.9702352240623
1.2015826459862036,315.97306526038415
1.201620770810883,315.97589538556366
1.2016588977098837,315.9787255996056
1.2016970266833649,315.98155590251463
1.2017351577314874,315.9843862942956
1.2017732908544103,315.9872167749532
1.201811426052294,315.99004734449215
1.2018495633252972,315.9928780029172
1.201887702673581,315.9957087502332
1.2019258440973049,315.9985395864448
1.2019639875966281,316.00137051155673
1.2020021331717112,316.00420152557376
1.202040280822714,316.0070326285007
1.2020784305497958,316.0098638203422
1.202116582353117,316.0126951011031
1.202154736232838,316.0155264707881
1.202192892189118,316.0183579294019
1.2022310502221174,316.0211894769493
1.202269210331996,316.024021113435
1.202307372518914,316.0268528388639
1.2023455367830311,316.02968465324057
1.2023837031245077,316.0325165565698
1.2024218715435038,316.03534854885646
1.2024600420401794,316.03818063010516
1.2024982146146943,316.04101280032074
1.202536389267209,316.0438450595079
1.2025745659978833,316.0466774076713
1.2026127448068775,316.04950984481593
1.2026509256943518,316.05234237094635
1.202689108660466,316.05517498606736
1.2027272937053815,316.05800769018373
1.202765480829257,316.0608404833002
1.202803670032253,316.0636733654215
1.2028418613145306,316.06650633655244
1.2028800546762495,316.0693393966977
1.20291825011757,316.07217254586214
1.2029564476386518,316.0750057840504
1.202994647239656,316.07783911126734
1.2030328489207425,316.0806725275176
1.2030710526820718,316.083506032806
1.2031092585238043,316.0863396271373
1.2031474664461002,316.08917331051623
1.2031856764491196,316.09200708294753
1.2032238885330233,316.09484094443604
1.2032621026979717,316.0976748949864
1.203300318944125,316.1005089346035
1.203338537271644,316.103343063292
1.2033767576806886,316.10617728105666
1.2034149801714196,316.1090115879023
1.2034532047439974,316.1118459838336
1.2034914313985823,316.11468046885534
1.2035296601353356,316.11751504297234
1.2035678909544167,316.1203497061893
1.2036061238559874,316.123184458511
1.203644358840207,316.12601929994213
1.2036825959072366,316.12885423048755
1.2037208350572375,316.131689250152
1.203759076290369,316.1345243589402
1.2037973196067921,316.13735955685695
1.2038355650066683,316.14019484390695
1.2038738124901573,316.14303022009506
1.2039120620574206,316.145865685426
1.2039503137086178,316.1487012399044
1.2039885674439108,316.15153688353524
1.204026823263459,316.15437261632314
1.2040650811674243,316.15720843827296
1.2041033411559672,316.16004434938935
1.2041416032292478,316.16288034967715
1.2041798673874278,316.1657164391411
1.2042181336306672,316.16855261778596
1.2042564019591273,316.1713888856165
1.2042946723729688,316.17422524263753
1.2043329448723528,316.17706168885377
1.2043712194574394,316.17989822426995
1.2044094961283898,316.18273484889085
1.2044477748853657,316.1855715627213
1.2044860557285273,316.188408365766
1.2045243386580353,316.19124525802977
1.204562623674051,316.19408223951734
1.2046009107767353,316.19691931023345
1.2046391999662491,316.19975647018293
1.2046774912427538,316.20259371937055
1.2047157846064096,316.205431057801
1.2047540800573782,316.2082684854791
1.2047923775958203,316.2111060024096
1.2048306772218969,316.21394360859733
1.204868978935769,316.216781304047
1.2049072827375984,316.21961908876335
1.2049455886275453,316.2224569627512
1.2049838966057715,316.22529492601535
1.205022206672438,316.2281329785605
1.2050605188277055,316.2309711203915
1.2050988330717354,316.233809351513
1.2051371494046885,316.23664767192986
1.205175467826727,316.2394860816469
1.2052137883380114,316.2423245806687
1.2052521109387029,316.24516316900025
1.205290435628963,316.2480018466462
