P[bar],断熱火炎t1[K]
409.01325,2306.6013272364607
410.01325,2306.6175208989134
411.01325,2306.6336647253565
412.01325,2306.6497589889477
413.01325,2306.6658039603985
414.01325,2306.681799908467
415.01325,2306.697747099749
416.01325,2306.713645798808
417.01325,2306.7294962680426
418.01325,2306.745298767882
419.01325,2306.761053556776
420.01325,2306.7767608910435
421.01325,2306.7924210251435
422.01325,2306.8080342115686
423.01325,2306.823600700822
424.01325,2306.8391207414033
425.01325,2306.854594580101
426.01325,2306.87002246169
427.01325,2306.885404629169
428.01325,2306.9007413234976
429.01325,2306.9160327841055
430.01325,2306.9312792483706
431.01325,2306.9464809519336
432.01325,2306.9616381287965
433.01325,2306.9767510110028
434.01325,2306.991819828963
435.01325,2307.006844811381
436.01325,2307.0218261851837
437.01325,2307.0367641757
438.01325,2307.0516590065304
439.01325,2307.066510899574
440.01325,2307.0813200752104
441.01325,2307.096086752062
442.01325,2307.1108111473286
443.01325,2307.1254934763065
444.01325,2307.140133953042
445.01325,2307.154732789848
446.01325,2307.1692901974407
447.01325,2307.1838063851587
448.01325,2307.198281560752
449.01325,2307.212715930375
450.01325,2307.2271096988484
451.01325,2307.241463069404
452.01325,2307.2557762438155
453.01325,2307.2700494224973
454.01325,2307.2842828043185
455.01325,2307.298476586823
456.01325,2307.3126309660756
457.01325,2307.3267461367773
458.01325,2307.340822292209
459.01325,2307.3548596243286
460.01325,2307.3688583237426
461.01325,2307.3828185796324
462.01325,2307.3967405799594
463.01325,2307.4106245112994
464.01325,2307.4244705588917
465.01325,2307.43827890675
466.01325,2307.4520497375497
467.01325,2307.4657832327093
468.01325,2307.4794795724315
469.01325,2307.4931389355934
470.01325,2307.506761499907
471.01325,2307.520347441759
472.01325,2307.5338969364284
473.01325,2307.5474101579384
474.01325,2307.5608872790895
475.01325,2307.574328471559
476.01325,2307.587733905817
477.01325,2307.601103751109
478.01325,2307.6144381757226
479.01325,2307.627737346533
480.01325,2307.641001429571
481.01325,2307.654230589518
482.01325,2307.6674249899725
483.01325,2307.6805847935866
484.01325,2307.693710161738
485.01325,2307.706801254876
486.01325,2307.71985823217
487.01325,2307.7328812520077
488.01325,2307.745870471526
489.01325,2307.7588260467605
490.01325,2307.7717481329605
491.01325,2307.78463688403
492.01325,2307.797492453124
493.01325,2307.810314992274
494.01325,2307.8231046524957
495.01325,2307.835861583839
496.01325,2307.848585935373
497.01325,2307.861277855179
498.01325,2307.8739374903666
499.01325,2307.8865649871327
500.01325,2307.899160490629
501.01325,2307.911724145174
502.01325,2307.9242560940297
503.01325,2307.93675647964
504.01325,2307.949225443504
505.01325,2307.961663126179
506.01325,2307.9740696672784
507.01325,2307.9864452056704
508.01325,2307.998789879139
509.01325,2308.011103824701
510.01325,2308.02338717857
511.01325,2308.0356400758815
512.01325,2308.047862651172
513.01325,2308.0600550378763
514.01325,2308.072217368681
515.01325,2308.0843497755377
516.01325,2308.0964523894636
517.01325,2308.108525340581
518.01325,2308.120568758342
519.01325,2308.1325827713636
520.01325,2308.144567507271
521.01325,2308.1565230931888
522.01325,2308.1684496552834
523.01325,2308.180347318833
524.01325,2308.192216208538
525.01325,2308.2040564482963
526.01325,2308.215868161079
527.01325,2308.2276514692576
528.01325,2308.2394064944365
529.01325,2308.2511333573666
530.01325,2308.262832178136
531.01325,2308.274503076074
532.01325,2308.2861461698362
533.01325,2308.2977615772584
534.01325,2308.309349415522
535.01325,2308.320909801094
536.01325,2308.33244284974
537.01325,2308.343948676469
538.01325,2308.355427395607
539.01325,2308.3668791208406
540.01325,2308.3783039651216
541.01325,2308.3897020408126
542.01325,2308.40107345946
543.01325,2308.41241833206
544.01325,2308.4237367688593
545.01325,2308.435028879457
546.01325,2308.4462947728975
547.01325,2308.4575345575204
548.01325,2308.4687483409125
549.01325,2308.4799362302106
550.01325,2308.4910983317413
551.01325,2308.502234751348
552.01325,2308.5133455941696
553.01325,2308.524430964724
554.01325,2308.5354909669886
555.01325,2308.546525704188
556.01325,2308.5575352790806
557.01325,2308.5685197938255
558.01325,2308.5794793498926
559.01325,2308.5904140481416
560.01325,2308.60132398903
561.01325,2308.612209272206
562.01325,2308.6230699969233
563.01325,2308.6339062617094
564.01325,2308.644718164626
565.01325,2308.6555058031704
566.01325,2308.666269274217
567.01325,2308.6770086741735
568.01325,2308.6877240987556
569.01325,2308.69841564326
570.01325,2308.7090834023893
571.01325,2308.7197274702844
